,scientific_name,red_list_category,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name,country_state,animal_name,latitude,longitude
8373,Atelopus arsyecue,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8374,Atelopus carrikeri,Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8375,Atelopus chocoensis,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8376,Atelopus ebenoides,Critically Endangered,2017,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8377,Atelopus elegans,Endangered,2019,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8378,Atelopus famelicus,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8379,Atelopus farci,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8380,Atelopus glyphus,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8381,Atelopus longibrachius,Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8382,Atelopus lozanoi,Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8383,Atelopus nicefori,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8384,Atelopus pachydermus,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8385,Atelopus petriruizi,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8386,Atelopus quimbaya,Critically Endangered,2016,Unknown,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8387,Atelopus simulatus,Critically Endangered,2014,Unknown,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8388,Atelopus sonsonensis,Critically Endangered,2016,Unknown,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8389,Atelopus spurrelli,Near Threatened,2016,Stable,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8390,Atelopus subornatus,Critically Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
8391,Atelopus mittermeieri,Endangered,2016,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
