,scientific_name,red_list_category,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name,country_state,animal_name,latitude,longitude
0,Hexanchus griseus,Near Threatened,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,,,,
1,Heosemys annandalii,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
2,Hubbsina turneri,Critically Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
3,Hungerfordia pelewensis,Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
4,Ictalurus mexicanus,Vulnerable,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
5,Indotestudo forstenii,Critically Endangered,2018,Decreasing,Terrestrial,Australasian,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
6,Pangshura sylhetensis,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
7,Kubaryia pilikia,Critically Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
8,Ameca splendens,Critically Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
9,Lampsilis rafinesqueana,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
10,Lampsilis abrupta,Vulnerable,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,"U.S.A. (AL, AR, IL, IN, KY, LA, MO, OH, PA, TN, VA, WV)","Mucket, pink (pearlymussel)",,
11,Hamiota altilis,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
12,Obovaria haddletoni,Critically Endangered,2012,Unknown,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
13,Lemiox rimosus,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
14,Leptodea ochracea,Near Threatened,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
15,Leptoxis taeniata,Endangered,2011,Decreasing,Freshwater,Nearctic,Global,Mollusks,Snails & slugs,U.S.A. (AL),"Rocksnail, painted",,
16,Lepus castroviejoi,Vulnerable,2018,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",Vertebrates,Mammals,,,,
17,Pleuronaia dolabelloides,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
18,Lithognathus lithognathus,Endangered,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,White steenbras,,
19,Lucania interioris,Endangered,2018,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes,,,,
20,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,CO ,Cubera snapper ,,
21,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,BR ,Cubera snapper ,,
22,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,VE ,Cubera snapper ,,
23,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,USA ,Cubera snapper ,,
24,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,CRI ,Cubera snapper ,,
25,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,KY ,Cubera snapper ,,
26,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,HT ,Cubera snapper ,,
27,Lutjanus cyanopterus,Vulnerable,2015,Decreasing,Marine,Nearctic|Neotropical,Global,Vertebrates,Ray-finned fishes,NI ,Cubera snapper ,,
28,Malaclemys terrapin,Vulnerable,2018,Decreasing,Terrestrial & Freshwater & Marine,Nearctic,Global,Vertebrates,Reptiles,,,,
29,Malacochersus tornieri,Critically Endangered,2018,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Reptiles,,,,
30,Manouria impressa,Endangered,2018,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Reptiles,,,,
31,Mantella aurantiaca,Endangered,2018,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
32,Margaritifera marrianae,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
33,Margaritifera hembeli,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,U.S.A. (LA),"Pearlshell, Louisiana",,
34,Medionidus parvulus,Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,"U.S.A. (AL, GA, TN)","Moccasinshell, Coosa",,
35,Medionidus walkeri,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
36,Anhydrophryne rattrayi,Vulnerable,2016,Unknown,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
37,Melanochelys tricarinata,Endangered,2018,Decreasing,Terrestrial,Indomalayan,Global,Vertebrates,Reptiles,Central India to Bangladesh and Burma,"Turtle, three-keeled Asian",,
38,Menidia conchorum,Endangered,2014,Decreasing,Marine,Nearctic,"Global, Caribbean & Gulf of Mexico",Vertebrates,Ray-finned fishes,USA ,Key silverside ,,
39,Mictocaris halope,Critically Endangered,2013,Unknown,Marine,Neotropical,Global,Invertebrates,Crustaceans,,,,
40,Telmatobius sanborni,Critically Endangered,2019,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
41,Ctenophryne barbatula,Endangered,2017,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
42,Anodonthyla moramora,Endangered,2015,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Amphibians,,,,
43,Zhangixalus yinggelingensis,Vulnerable,2019,Stable,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Amphibians,,,,
44,Bolitoglossa gomezi,Endangered,2019,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
45,Telmatobius punctatus,Endangered,2017,Decreasing,Terrestial & Freshwater ,Neotropical,Global,Vertebrates,Amphibians,,,,
46,Oreobates lehri,Endangered,2017,Unknown,Terrestrial,Neotropical,Global,Vertebrates,Amphibians,,,,
47,Plecotus sardus,Vulnerable,2016,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",Vertebrates,Mammals,,,,
48,Uromys boeadii,Critically Endangered,2016,Decreasing,Terrestrial,Australasian,Global,Vertebrates,Mammals,,,,
49,Morenia ocellata,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,Burma,"Turtle, Burmese peacock",,
50,Morenia petersi,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,US,,37.09024,-95.712891
51,Neochanna burrowsius,Critically Endangered,2014,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes,,,,
52,Neochanna diversus,Endangered,2014,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes,,,,
53,Neochanna apoda,Endangered,2014,Decreasing,Freshwater,Australasian,Global,Vertebrates,Ray-finned fishes,,,,
54,Nilssonia formosa,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
55,Notochelys platynota,Vulnerable,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
56,Notropis aguirrepequenoi,Vulnerable,2018,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes,,,,
57,Notropis amecae,Extinct in the Wild,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
58,Obovaria jacksoniana,Vulnerable,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,,,,
59,Mauremys sinensis,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan|Palearctic,Global,Vertebrates,Reptiles,,,,
60,Ogmodon vitianus,Endangered,2011,Decreasing,Terrestrial,Oceanian,Global,Vertebrates,Reptiles,,,,
61,Ophisternon infernale,Endangered,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,Mexico,Blind swamp eel,,
62,Sciades parkeri,Vulnerable,2011,Decreasing,Freshwater & Marine,Neotropical,Global,Vertebrates,Ray-finned fishes,BR ,Gillbacker sea catfish ,,
63,Sciades parkeri,Vulnerable,2011,Decreasing,Freshwater & Marine,Neotropical,Global,Vertebrates,Ray-finned fishes,VE ,Gillbacker sea catfish ,,
64,Orlitia borneensis,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,SG,,1.352083,103.819836
65,Euryoryzomys lamia,Vulnerable,2017,Decreasing,Terrestrial,Neotropical,Global,Vertebrates,Mammals,,,,
66,Tarraconia rolani,Endangered,2007,Unknown,Freshwater,Palearctic,"Global, Europe & Mediterranean",Mollusks,Snails & slugs,,,,
67,Theba macandrewiana,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
68,Palaemonetes antrorum,Endangered,2012,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans,,,,
69,Palaemonetes cummingi,Critically Endangered,2012,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans,U.S.A. (FL),"Shrimp, Squirrel Chimney Cave",,
70,Palaemonias alabamae,Endangered,2012,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans,U.S.A. (AL),"Shrimp, Alabama cave",,
71,Palaemonias ganteri,Vulnerable,2012,Unknown,Freshwater,Nearctic,Global,Invertebrates,Crustaceans,U.S.A. (KY),"Shrimp, Kentucky cave",,
72,Palaina dimorpha,Near Threatened,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
73,Palaina moussoni,Critically Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
74,Palaina striolata,Critically Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
75,Palaina wilsoni,Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
76,Palea steindachneri,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,CN,,35.86166,104.195397
77,Pseudobatos percellens,Endangered,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,CO ,Chola guitarfish ,,
78,Pseudobatos percellens,Endangered,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,AR ,Chola guitarfish ,,
79,Pseudobatos percellens,Endangered,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,BR ,Chola guitarfish ,,
80,Pseudobatos percellens,Endangered,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,VE ,Chola guitarfish ,,
81,Pseudobatos percellens,Endangered,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,NI ,Chola guitarfish ,,
82,Pseudobatos percellens,Endangered,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,UY ,Chola guitarfish ,,
83,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,CO ,Blacknose shark ,,
84,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,BR ,Blacknose shark ,,
85,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,VE ,Blacknose shark ,,
86,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,USA ,Blacknose shark ,,
87,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,CRI ,Blacknose shark ,,
88,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,KY ,Blacknose shark ,,
89,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,HT ,Blacknose shark ,,
90,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,NI ,Blacknose shark ,,
91,Carcharhinus acronotus,Endangered,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,UY ,Blacknose shark ,,
92,Somniosus pacificus,Near Threatened,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,,,,
93,Myliobatis goodei,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,CO ,Southern eagle ray ,,
94,Myliobatis goodei,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,AR ,Southern eagle ray ,,
95,Myliobatis goodei,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,BR ,Southern eagle ray ,,
96,Myliobatis goodei,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,VE ,Southern eagle ray ,,
97,Myliobatis goodei,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,USA ,Southern eagle ray ,,
98,Myliobatis goodei,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,UY ,Southern eagle ray ,,
99,Mustelus norrisi,Near Threatened,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,,,,
100,Carcharhinus isodon,Near Threatened,2019,Stable,Marine,,Global,Vertebrates,Cartilaginous fishes,,,,
101,Carcharhinus altimus,Near Threatened,2020,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,,,,
102,Pseudobatos lentiginosus,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,USA ,Atlantic guitarfish ,,
103,Pseudobatos lentiginosus,Vulnerable,2019,Decreasing,Marine,,Global,Vertebrates,Cartilaginous fishes,NI ,Atlantic guitarfish ,,
104,Sepia apama,Near Threatened,2009,Decreasing,Marine,Australasian,Global,Mollusks,Octopuses & squids,,,,
105,Partula guamensis,Critically Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
106,Opisthoteuthis mero,Endangered,2014,Decreasing,Marine,Australasian,Global,Mollusks,Octopuses & squids,,,,
107,Opisthoteuthis massyae,Vulnerable,2014,Decreasing,Marine,Afrotropical|Palearctic,Global,Mollusks,Octopuses & squids,,,,
108,Cirroctopus hochbergi,Endangered,2014,Decreasing,Marine,Australasian,Global,Mollusks,Octopuses & squids,,,,
109,Octopus kaharoa,Near Threatened,2016,Decreasing,Marine,Australasian,Global,Mollusks,Octopuses & squids,,,,
110,Cuora mouhotii,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
111,Cyclemys oldhamii,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
112,Centrochelys sulcata,Endangered,2020,Decreasing,Terrestrial,Afrotropical,Global,Vertebrates,Reptiles,,,,
113,Pelusios niger,Near Threatened,2018,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Reptiles,,,,
114,Cycloderma aubryi,Vulnerable,2016,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Reptiles,,,,
115,Batagur borneoensis,Critically Endangered,2018,Decreasing,Terrestrial & Freshwater & Marine,Indomalayan,Global,Vertebrates,Reptiles,,,,
116,Varanus bengalensis,Near Threatened,2018,Decreasing,Terrestial & Freshwater ,Indomalayan|Palearctic,Global,Vertebrates,Reptiles,US,"Monitor, Indian (=Bengal)",37.09024,-95.712891
117,Alsophylax laevis,Critically Endangered,2008,Decreasing,Terrestrial,Palearctic,Global,Vertebrates,Reptiles,,,,
118,Naja oxiana,Near Threatened,2016,Decreasing,Terrestrial,Indomalayan|Palearctic,Global,Vertebrates,Reptiles,UZ,,41.377491,64.585262
119,Eryx johnii,Near Threatened,2019,Decreasing,Terrestrial,Indomalayan|Palearctic,Global,Vertebrates,Reptiles,,,,
120,Pegias fabula,Critically Endangered,2012,Decreasing,Freshwater,Nearctic,Global,Mollusks,Molluscs,"U.S.A. (AL, KY, NC, TN, VA)","Pearlymussel, littlewing",,
121,Islamia pseudorientalica,Critically Endangered,2009,Unknown,Freshwater,Palearctic,Global & Mediterranean,Mollusks,Snails & slugs,,,,
122,Anodonta vescoiana,Near Threatened,2013,Unknown,Freshwater,Palearctic,Global,Mollusks,Molluscs,,,,
123,Leguminaia saulcyi,Critically Endangered,2013,Unknown,Freshwater,Palearctic,Global,Mollusks,Molluscs,,,,
124,Margaritifera homsensis,Endangered,2013,Unknown,Freshwater,Palearctic,Global & Mediterranean,Mollusks,Molluscs,,,,
125,Anodonta pseudodopsis,Endangered,2013,Unknown,Freshwater,Palearctic,Global,Mollusks,Molluscs,,,,
126,Pseudamnicola solitaria,Endangered,2013,Decreasing,Freshwater,Palearctic,Global,Mollusks,Snails & slugs,,,,
127,Gyraulus bekaensis,Vulnerable,2013,Unknown,Freshwater,Palearctic,Global & Mediterranean,Mollusks,Snails & slugs,,,,
128,Heleobia galilaea,Vulnerable,2013,Unknown,Freshwater,Palearctic,Global & Mediterranean,Mollusks,Snails & slugs,,,,
129,Belgrandiella libanica,Near Threatened,2013,Unknown,Freshwater,Palearctic,Global & Mediterranean,Mollusks,Snails & slugs,,,,
130,Stagnicola kayseris,Endangered,2013,Unknown,Freshwater,Palearctic,Global & Mediterranean,Mollusks,Snails & slugs,,,,
131,Boophis baetkei,Critically Endangered,2014,Decreasing,Terrestial & Freshwater ,Afrotropical,Global,Vertebrates,Amphibians,,,,
132,Pelochelys cantorii,Critically Endangered,2018,Decreasing,Terrestrial & Freshwater & Marine,Indomalayan,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
133,Pelochelys bibroni,Vulnerable,2018,Unknown,Terrestrial & Freshwater & Marine,Australasian,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
134,Leptobotia elongata,Vulnerable,2010,Decreasing,Freshwater,Indomalayan|Palearctic,Global,Vertebrates,Ray-finned fishes,,,,
135,Luciocyprinus langsoni,Vulnerable,2012,Decreasing,Freshwater,Indomalayan,Global,Vertebrates,Ray-finned fishes,,,,
136,Verasper variegatus,Vulnerable,2021,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
137,Samoana burchi,Critically Endangered,2011,Unknown,Terrestrial,Oceanian,Global,Mollusks,Snails & slugs,,,,
138,Tlaloc hildebrandi,Endangered,2018,Unknown,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
139,Vieja hartwegi,Endangered,2017,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
140,Allotoca diazi,Critically Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
141,Chirostoma promelas,Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
142,Tampichthys catostomops,Near Threatened,2018,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes,,,,
143,Chirostoma attenuatum,Endangered,2018,Decreasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
144,Zoogoneticus tequila,Endangered,2018,Increasing,Freshwater,Neotropical,Global,Vertebrates,Ray-finned fishes,,,,
145,Herichthys steindachneri,Endangered,2018,Unknown,Freshwater,Nearctic,Global,Vertebrates,Ray-finned fishes,,,,
146,Schistura personata,Near Threatened,2011,Decreasing,Freshwater,Indomalayan,Global,Vertebrates,Ray-finned fishes,,,,
147,Mastacembelus oatesii,Endangered,2011,Unknown,Freshwater,Indomalayan,Global,Vertebrates,Ray-finned fishes,,,,
148,Schistura spiesi,Vulnerable,2011,Unknown,Freshwater,Indomalayan,Global,Vertebrates,Ray-finned fishes,,,,
149,Palinurus elephas,Vulnerable,2013,Decreasing,Marine,Palearctic,Global,Invertebrates,Crustaceans,,,,
150,Dentex angolensis,Near Threatened,2011,Unknown,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
151,Cheimerius matsubarai,Vulnerable,2009,Unknown,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
152,Stenotomus chrysops,Near Threatened,2011,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,Scup,,
153,Stenotomus chrysops,Near Threatened,2011,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,Scup,,
154,Chrysoblephus laticeps,Near Threatened,2009,Stable,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
155,Acanthopagrus vagus,Vulnerable,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,Tanzania,Wandering seabream,,
156,Acanthopagrus chinshira,Near Threatened,2009,Unknown,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
157,Chrysoblephus cristiceps,Critically Endangered,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
158,Polysteganus praeorbitalis,Vulnerable,2008,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
159,Chrysoblephus anglicus,Near Threatened,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,Englishman seabream,,
160,Acanthopagrus sivicolus,Vulnerable,2009,Decreasing,Freshwater & Marine,,Global,Vertebrates,Ray-finned fishes,,,,
161,Lithognathus aureti,Near Threatened,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
162,Cymatoceps nasutus,Vulnerable,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
163,Polysteganus undulosus,Critically Endangered,2009,Increasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
164,Pachymetopon grande,Near Threatened,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,Bronze seabream,,
165,Rhabdosargus globiceps,Vulnerable,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
166,Sparodon durbanensis,Near Threatened,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
167,Argyrozona argyrozona,Near Threatened,2009,Increasing,Marine,,Global,Vertebrates,Ray-finned fishes,,Carpenter seabream,,
168,Argyrozona argyrozona,Near Threatened,2009,Increasing,Marine,,Global,Vertebrates,Ray-finned fishes,,Carpenter seabream,,
169,Petrus rupestris,Endangered,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
170,Chrysoblephus gibbiceps,Endangered,2009,Decreasing,Marine,,Global,Vertebrates,Ray-finned fishes,,,,
171,Phocarctos hookeri,Endangered,2014,Decreasing,Terrestrial & Marine,Antarctic|Australasian,Global,Vertebrates,Mammals,,,,
172,Cyclemys atripons,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
173,Cyclemys enigmatica,Near Threatened,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
174,Cyclemys gemeli,Near Threatened,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
175,Cyclemys pulchristriata,Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
176,Chitra vandijki,Critically Endangered,2018,Decreasing,Terrestial & Freshwater ,Indomalayan,Global,Vertebrates,Reptiles,,,,
177,Pelochelys signifera,Vulnerable,2018,Decreasing,Terrestrial & Freshwater & Marine,Australasian,Global,Vertebrates,Reptiles,ID,,-0.789275,113.921327
178,Albinaria confusa,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
179,Gyralina ermonae,Vulnerable,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
180,Cryptella alegranzae,Critically Endangered,2016,Decreasing,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
181,Zonites graecus,Endangered,2016,Decreasing,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
182,Charpentieria spezialensis,Critically Endangered,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
183,Ferussacia valida,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
184,Macedonica martae,Critically Endangered,2015,Decreasing,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
185,Montenegrina apfelbecki,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
186,Virpazaria backhuysi,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
187,Zonites labiosus,Endangered,2016,Decreasing,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
188,Albinaria vrondamasa,Vulnerable,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
189,Amphorella hypselia,Vulnerable,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
190,Retinella osoriensis,Endangered,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
191,Balcanodiscus beroni,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
192,Limax aeolianus,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
193,Carpathica elisabethae,Vulnerable,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
194,Lehmannia requienii,Near Threatened,2017,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
195,Oxychilus fuscosus,Endangered,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
196,Mediterranea planospiroides,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
197,Alopia subcosticollis,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
198,Limax lachensis,Near Threatened,2017,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
199,Delima pfeifferi,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
200,Zonites oertzeni,Endangered,2016,Decreasing,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
201,Carinigera praecipua,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
202,Oxychilus miceui,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
203,Albinaria zilchi,Vulnerable,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
204,Medora armata,Near Threatened,2016,Stable,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
205,Tandonia piriniana,Near Threatened,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
206,Carinigera tantilla,Vulnerable,2016,Unknown,Terrestrial,Palearctic,Global & Europe,Mollusks,Snails & slugs,,,,
