,scientific_name,red_list_category,year_published,assessment_date,population_trend,systems,region,habitat,phylum_name,class_name
43,Anhydrophryne rattrayi,Vulnerable,2016,2016-08-11 00:00:00 UTC,Unknown,Terrestrial,Afrotropical,Global,CHORDATA,AMPHIBIA
44,Melanochelys tricarinata,Endangered,2020,2018-03-14 00:00:00 UTC,Decreasing,Terrestrial,Indomalayan,Global,CHORDATA,REPTILIA
45,Menidia conchorum,Endangered,2015,2014-01-07 00:00:00 UTC,Decreasing,Marine,Nearctic,"Global, Caribbean & Gulf of Mexico",CHORDATA,ACTINOPTERYGII
46,Mictocaris halope,Critically Endangered,2014,2013-10-02 00:00:00 UTC,Unknown,Marine,Neotropical,Global,ARTHROPODA,MALACOSTRACA
47,Telmatobius sanborni,Critically Endangered,2020,2019-09-25 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical,Global,CHORDATA,AMPHIBIA
48,Ctenophryne barbatula,Endangered,2018,2017-12-08 00:00:00 UTC,Unknown,Terrestrial,Neotropical,Global,CHORDATA,AMPHIBIA
49,Anodonthyla moramora,Endangered,2016,2015-11-26 00:00:00 UTC,Decreasing,Terrestrial,Afrotropical,Global,CHORDATA,AMPHIBIA
50,Zhangixalus yinggelingensis,Vulnerable,2020,2019-06-18 00:00:00 UTC,Stable,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,AMPHIBIA
51,Bolitoglossa gomezi,Endangered,2020,2019-09-11 00:00:00 UTC,Decreasing,Terrestrial,Neotropical,Global,CHORDATA,AMPHIBIA
52,Telmatobius punctatus,Endangered,2017,2017-04-21 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Neotropical,Global,CHORDATA,AMPHIBIA
53,Oreobates lehri,Endangered,2018,2017-04-19 00:00:00 UTC,Unknown,Terrestrial,Neotropical,Global,CHORDATA,AMPHIBIA
54,Plecotus sardus,Vulnerable,2016,2016-05-25 00:00:00 UTC,Decreasing,Terrestrial,Palearctic,"Global, Europe & Mediterranean",CHORDATA,MAMMALIA
55,Uromys boeadii,Critically Endangered,2016,2016-05-05 00:00:00 UTC,Decreasing,Terrestrial,Australasian,Global,CHORDATA,MAMMALIA
97,Morenia ocellata,Endangered,2021,2018-03-05 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
98,Morenia petersi,Endangered,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
99,Mustela lutreola,Critically Endangered,2012,2011-07-19 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Europe,CHORDATA,MAMMALIA
100,Mustela lutreola,Critically Endangered,2012,2011-07-19 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Europe,CHORDATA,MAMMALIA
101,Mustela lutreola,Critically Endangered,2012,2011-07-19 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Europe,CHORDATA,MAMMALIA
102,Mustela lutreola,Critically Endangered,2010,2008-01-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Mediterranean,CHORDATA,MAMMALIA
103,Mustela lutreola,Critically Endangered,2010,2008-01-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Mediterranean,CHORDATA,MAMMALIA
104,Mustela lutreola,Critically Endangered,2010,2008-01-01 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Mediterranean,CHORDATA,MAMMALIA
105,Mustela lutreola,Critically Endangered,2016,2015-03-03 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Global,CHORDATA,MAMMALIA
106,Mustela lutreola,Critically Endangered,2016,2015-03-03 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Global,CHORDATA,MAMMALIA
107,Mustela lutreola,Critically Endangered,2016,2015-03-03 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Palearctic,Global,CHORDATA,MAMMALIA
108,Neochanna burrowsius,Critically Endangered,2014,2014-07-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Australasian,Global,CHORDATA,ACTINOPTERYGII
109,Neochanna diversus,Endangered,2014,2014-07-15 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Australasian,Global,CHORDATA,ACTINOPTERYGII
110,Neochanna apoda,Endangered,2014,2014-07-24 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Australasian,Global,CHORDATA,ACTINOPTERYGII
111,Nilssonia formosa,Critically Endangered,2021,2018-03-14 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
112,Notochelys platynota,Vulnerable,2021,2018-03-13 00:00:00 UTC,Decreasing,Terrestrial|Freshwater (=Inland waters),Indomalayan,Global,CHORDATA,REPTILIA
113,Notropis aguirrepequenoi,Vulnerable,2019,2018-08-31 00:00:00 UTC,Unknown,Freshwater (=Inland waters),Nearctic,Global,CHORDATA,ACTINOPTERYGII
114,Notropis amecae,Extinct in the Wild,2019,2018-12-05 00:00:00 UTC,,Freshwater (=Inland waters),Neotropical,Global,CHORDATA,ACTINOPTERYGII
115,Obovaria jacksoniana,Vulnerable,2012,2012-03-12 00:00:00 UTC,Decreasing,Freshwater (=Inland waters),Nearctic,Global,MOLLUSCA,BIVALVIA
